parameter,lot_id,date,Owner
WireRes_H4_3W3S_Res_LT,A27DF,2022-07-15,BEOL
BEOLCAP_D8_1w1s_TOTAL_C0_LT,A2AZ8,2022-06-13,BEOL
H4_BEOLCAP_total_C0_LT,A2AZ8,2022-06-13,BEOL
VCHN_N3_chn1_RES_LT,A2115,2022-06-13,BEOL
CMBSRP_D8_DUT1_RES_LT,A2115,2022-06-13,BEOL
CMBSRP_D8_DUT2_RES_LT,A2AZ8,2022-06-13,BEOL
METAL_KELVIN_D8_LT,A2115,2022-06-13,BEOL
HB_ISOVIA~Res_LT,A2115,2022-06-13,BEOL
HB_ISOVIA_E~Res_LT,A2115,2022-06-13,BEOL
HB_ISOVIA_PAB~Res_LT,A2115,2022-06-13,BEOL
HB_ISOVIA_D~Res_LT,A2115,2022-06-13,BEOL
Y1_ISOVIA_PAB~Res_LT,A2115,2022-06-13,BEOL
BEOL_STK_N3_kelvin~Res_LT,A2115,2022-06-13,BEOL
BEOL_STK_HB_kelvin~Res_LT,A2115,2022-06-13,BEOL
BEOL_STK_Y1_kelvin~Res_LT,A2115,2022-06-13,BEOL
CMBSRP_D8_DUT4_RES_LT,A2AZ8,2022-06-13,BEOL
CMBSRP_D8_DUT3_RES_LT,A2AZ8,2022-06-13,BEOL
QMETAL_D8~BV_LT,A2698,2022-05-15,REL
EGP_NBTI_150_20F_Ref_ID_LT,A2698,2022-05-15,REL
UN_PBTI_PID_6X_08_Ref_ID_LT,A2698,2022-05-15,REL
UP_NBTI_PID_6X_08_Ref_ID_LT,A2698,2022-05-15,REL
SGN_PBTI_08_40F_U_Ref_ID_LT,A2698,2022-05-15,REL
SGP_NBTI_08_40F_U_Ref_ID_LT,A2698,2022-05-15,REL
SGP_NBTI_150_08_40F_U_Ref_ID_LT,A2698,2022-05-15,REL
BEOLCAP_M3_DOWN_LT,A2698,2022-05-14,BEOL
VNCAP_D5_D8_40_44_DUT2_LT,A2698,2022-05-14,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
PCHK_0.1V_01_LT,A24R3,2022-05-13,BEOL
